County,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ALA,"1,441,545","1,444,484","1,455,715","1,477,208","1,498,539","1,512,986","1,530,915","1,553,764","1,579,593","1,607,792","1,634,538","1,650,950","1,660,196","1,666,756","1,671,329","1,680,614","1,643,856","1,635,693","1,638,142","1,649,060","1,622,188"
ALP,"1,219","1,276","1,274","1,202","1,197","1,161","1,093","1,110","1,128","1,080","1,077","1,047","1,111","1,089","1,129","1,179","1,203","1,169","1,126","1,099","1,129"
AMA,"38,040","38,353","38,756","38,248","38,238","37,886","37,543","37,104","36,620","36,726","37,031","37,429","38,529","39,405","39,752","40,584","41,245","41,486","41,798","42,026","41,811"
BUT,"214,752","216,824","217,469","219,034","219,777","219,949","219,975","220,869","221,641","223,516","224,631","226,231","228,696","230,339","219,186","210,222","206,351","207,384","207,354","208,334","207,172"
CAL,"45,295","46,045","46,268","46,265","45,900","45,468","45,160","44,815","44,655","44,671","44,965","45,322","45,681","45,698","45,905","45,350","46,262","46,544","46,580","46,505","46,565"
COL,"20,540","20,890","21,075","21,134","21,250","21,437","21,323","21,284","21,250","21,176","21,231","21,496","21,579","21,418","21,547","21,868","21,931","21,952","22,093","22,074",22293
CCA,"999,013","1,000,834","1,009,152","1,023,344","1,037,890","1,052,540","1,065,440","1,077,548","1,093,401","1,108,876","1,124,405","1,137,268","1,145,535","1,150,519","1,153,526","1,166,165","1,163,813","1,160,296","1,162,179","1,172,607","1,155,025"
DNE,"28,281","28,211","28,415","28,496","28,599","28,566","28,443","28,190","27,816","27,175","27,190","27,382","27,351","27,740","27,812","27,616","27,581","26,758","26,571","27,009","27,743"
EDO,"175,003","176,773","177,694","179,150","180,455","181,136","180,936","180,575","181,481","183,108","184,569","185,976","188,679","190,746","192,843","191,250","193,724","193,071","192,440","192,823","192,215"
FRE,"872,470","883,862","895,933","909,630","921,478","932,039","939,406","945,045","951,514","960,567","969,488","976,830","985,238","991,950","999,101","1,009,613","1,012,879","1,017,107","1,019,899","1,024,125","1,017,162"
GLE,"27,393","27,652","27,775","28,019","28,100","28,127","28,139","27,851","27,809","27,831","27,753","27,840","27,926","27,967","28,393","28,889","28,714","28,371","28,190","28,304","27,509"
HUM,"131,497","132,093","132,001","132,657","133,744","135,009","135,243","134,572","134,403","134,494","135,102","136,290","136,507","136,244","135,558","136,324","134,978","135,013","134,009","132,380","133,985"
IMP,"156,113","160,505","164,596","167,917","172,008","174,716","175,786","176,575","176,438","177,974","178,937","180,179","181,649","181,523","181,215","179,730","179,206","179,767","180,585","181,724","179,057"
INY,"18,478","18,370","18,426","18,318","18,544","18,511","18,392","18,351","18,357","18,292","18,108","17,922","17,868","17,946","18,039","18,999","18,920","18,745","18,548","18,485","12,581"
KER,"760,726","784,511","803,281","818,327","830,137","840,996","847,970","853,606","862,000","869,176","876,031","880,856","887,356","893,758","900,202","906,124","912,782","917,293","916,646","922,529","913,820"
KIN,"145,147","147,712","150,420","152,027","152,278","152,370","151,868","150,991","150,337","149,495","150,085","149,382","149,665","151,382","152,940","152,797","152,724","152,776","153,281","154,913","152,682"
LAK,"63,811","64,202","64,077","64,392","64,413","64,735","64,251","63,954","63,796","64,044","64,260","63,903","64,111","64,317","64,386","68,200","68,623","68,239","67,934","67,764","67,878"
LAS,"34,488","34,605","35,615","35,221","35,160","34,831","34,246","33,629","32,129","31,664","31,256","30,721","30,920","30,618","30,573","32,319","31,884","30,401","28,838","28,340","28,861"
LAC,"9,786,373","9,737,955","9,700,359","9,735,147","9,787,400","9,823,246","9,876,482","9,935,375","9,992,484","10,040,072","10,085,416","10,105,708","10,103,711","10,073,906","10,039,107","9,996,634","9,809,239","9,748,447","9,731,837","9,757,179","9,663,345"
MAD,"140,313","143,622","146,067","148,359","149,234","150,986","151,675","151,527","151,370","153,456","153,576","153,956","155,423","156,882","157,327","156,434","159,019","160,414","163,402","165,432","162,858"
MRN,"244,206","244,580","246,248","248,398","250,862","252,904","255,376","256,061","258,409","260,359","260,916","260,562","259,749","259,662","258,826","261,341","259,254","257,143","255,706","256,400","254,407"
MPA,"17,972","18,219","18,366","18,412","18,212","18,277","18,170","17,881","17,809","17,714","17,622","17,456","17,414","17,405","17,203","17,133","17,136","17,095","16,996","17,048","17,131"
MEN,"87,981","87,345","87,071","87,468","87,722","87,799","87,334","87,288","87,054","87,225","87,107","87,285","87,576","87,401","86,749","91,362","91,303","90,027","89,354","89,175","89,108"
MER,"242,554","245,338","248,540","250,538","252,302","256,721","259,297","260,867","262,026","264,419","266,353","267,628","271,096","274,151","277,680","282,963","284,834","292,034","294,402","296,774","291,920"
MOD,"9,565","9,617","9,525","9,551","9,646","9,694","9,509","9,351","9,145","9,068","9,056","8,961","8,876","8,800","8,841","8,677","8,640","8,625","8,566","8,491","8,700"
MNO,"13,474","13,743","13,678","13,862","14,008","14,257","14,422","14,331","14,067","14,134","14,077","14,273","14,354","14,403","14,444","13,225","13,263","13,055","13,207","12,991","13,942"
MON,"405,139","401,831","402,376","406,022","410,263","416,373","420,456","424,788","426,712","428,475","430,552","433,953","434,534","433,950","434,061","440,506","439,245","436,427","435,637","436,251","430,723"
NAP,"130,381","131,440","132,583","134,093","135,280","136,759","137,691","138,538","139,580","140,405","140,862","140,840","139,878","138,789","137,744","137,465","136,219","134,492","133,444","132,727","133,216"
NEV,"97,250","97,549","97,794","98,200","98,591","98,790","98,701","98,137","97,938","98,572","98,676","98,913","99,367","99,508","99,755","102,267","103,499","102,356","102,086","102,195","102,037"
ORA,"2,940,055","2,932,261","2,931,629","2,957,593","2,987,177","3,015,171","3,049,271","3,078,068","3,104,950","3,126,537","3,149,280","3,164,986","3,174,289","3,175,973","3,175,692","3,186,261","3,159,351","3,158,489","3,154,563","3,170,435","3,135,755"
PLA,"312,762","321,934","329,023","337,568","343,810","350,021","356,328","360,263","365,398","369,217","372,841","378,943","385,115","392,330","398,329","405,951","412,968","418,439","424,599","433,822","423,561"
PLU,"21,010","20,762","20,667","20,410","20,169","19,914","19,719","19,377","18,895","18,622","18,427","18,665","18,660","18,741","18,807","19,761","19,965","19,433","19,120","18,834","18,807"
RIV,"1,931,785","2,012,370","2,075,183","2,109,712","2,146,725","2,201,576","2,234,070","2,261,204","2,286,755","2,316,162","2,345,816","2,380,081","2,414,964","2,445,789","2,470,546","2,424,663","2,455,225","2,479,628","2,503,549","2,529,933","2,492,442"
SAC,"1,360,816","1,369,563","1,381,161","1,394,438","1,408,601","1,421,383","1,433,730","1,444,852","1,457,341","1,474,917","1,493,674","1,510,987","1,527,301","1,538,746","1,552,058","1,586,727","1,588,824","1,588,743","1,594,506","1,611,231","1,584,288"
SBT,"54,647","54,124","54,072","54,267","54,436","55,516","55,977","56,599","57,239","57,825","58,216","59,225","60,164","61,467","62,808","64,533","66,703","67,715","68,341","69,159","68,175"
SBD,"1,943,924","1,974,140","1,992,161","2,003,735","2,013,960","2,040,848","2,060,827","2,073,512","2,082,738","2,099,181","2,115,411","2,131,960","2,150,945","2,166,753","2,180,085","2,183,526","2,190,877","2,196,029","2,200,805","2,214,281","2,195,611"
SDO,"2,938,375","2,947,289","2,975,742","3,022,116","3,061,203","3,103,212","3,137,156","3,174,335","3,209,768","3,248,877","3,280,850","3,306,089","3,321,237","3,333,861","3,338,330","3,301,182","3,274,244","3,283,755","3,285,890","3,298,799","3,269,973"
SFC,"763,016","768,650","778,673","791,152","801,922","805,505","815,650","828,876","839,572","850,750","863,010","871,512","878,040","880,696","881,549","874,826","815,498","814,176","819,151","827,526","808,988"
SJQ,"656,985","662,812","668,080","671,692","677,736","687,127","694,354","699,593","702,046","711,579","722,271","732,809","743,296","752,491","762,148","780,676","788,096","795,880","805,909","816,108","800,965"
SLO,"258,615","260,498","262,770","266,358","268,145","269,802","271,058","274,160","275,696","278,227","280,077","281,803","282,481","283,354","283,111","281,924","279,468","282,535","282,007","281,843","281,639"
SMO,"690,078","690,176","693,849","703,830","713,617","719,699","728,344","739,224","748,661","757,204","765,055","767,906","768,901","768,681","766,573","762,727","739,330","732,485","734,267","742,893","726,353"
SBC,"408,079","408,085","411,243","415,859","420,356","424,231","425,453","429,699","434,601","439,045","442,229","444,340","445,298","445,780","446,499","448,083","437,117","445,286","443,521","444,500","441,257"
SCL,"1,675,312","1,691,159","1,712,026","1,740,964","1,765,137","1,786,040","1,812,054","1,837,853","1,866,425","1,891,753","1,916,285","1,928,368","1,932,510","1,932,337","1,927,852","1,924,802","1,878,320","1,883,653","1,897,137","1,926,325","1,877,592"
SCR,"251,377","251,616","253,304","256,520","260,009","263,147","264,858","266,340","268,816","270,861","273,503","274,396","274,856","273,841","273,213","271,768","260,904","265,851","263,699","262,406","261,547"
SHA,"175,615","176,166","176,548","177,247","177,279","177,274","177,588","177,875","178,397","178,844","178,314","178,571","179,384","179,709","180,080","182,190","182,243","180,972","180,656","181,121","180,366"
SIE,"3,378","3,424","3,373","3,320","3,248","3,220","3,098","3,067","3,028","2,972","2,985","2,951","3,002","2,997","3,005","3,229","3,298","3,215","3,180","3,113","3,236"
SIS,"44,641","44,487","44,465","44,780","44,788","44,938","44,615","44,079","43,532","43,338","43,254","43,376","43,622","43,550","43,539","43,999","44,144","43,746","42,941","42,498","42,905"
SOL,"408,181","408,402","408,243","408,972","410,290","413,967","416,342","419,674","423,659","429,006","433,409","438,858","443,511","445,725","447,643","452,887","450,819","449,724","451,060","455,101","449,218"
SON,"465,938","465,188","467,356","473,091","479,479","484,755","487,421","489,993","494,073","498,560","500,863","502,547","502,469","498,643","494,336","488,501","484,561","483,398","483,366","485,375","481,812"
STA,"500,020","504,651","507,834","509,032","511,536","515,145","517,560","520,424","523,451","528,015","533,211","539,255","544,717","548,126","550,660","553,710","552,939","552,410","553,921","556,972","551,430"
SUT,"88,764","91,112","92,959","93,855","94,366","94,751","94,482","94,189","94,507","94,778","95,282","95,742","96,204","96,348","96,971","99,479","99,121","98,682","98,457","98,545","97,948"
TEH,"60,602","61,587","62,147","62,648","62,891","63,559","63,331","63,212","62,875","62,801","63,158","63,453","63,847","64,018","65,084","65,690","65,467","65,269","64,959","64,451","64,896"
TRI,"13,440","13,634","13,648","13,656","13,762","13,755","13,685","13,489","13,427","13,128","13,094","12,828","12,726","12,567","12,285","16,095","16,102","15,777","15,684","15,642","16,112"
TUL,"407,970","414,921","422,140","429,283","436,987","442,969","446,784","449,779","452,460","455,138","457,161","459,235","462,308","464,589","466,195","473,944","476,939","478,288","480,747","483,546","479,468"
TUO,"56,788","56,680","56,339","56,320","55,845","55,190","54,830","54,221","53,997","53,851","53,615","53,770","53,976","54,387","54,478","55,397","55,126","53,951","54,123","53,893","54,204"
VEN,"794,197","798,183","800,027","806,353","815,130","825,097","830,099","833,516","838,136","842,297","845,802","847,323","849,044","848,142","846,006","843,808","840,009","835,032","833,071","835,427","829,590"
YOL,"186,269","189,615","194,339","197,154","199,791","201,073","201,954","204,576","206,292","208,398","212,037","215,627","218,477","220,118","220,500","217,768","213,545","223,338","222,919","225,251","220,544"
YUB,"66,285","69,272","70,761","71,773","71,607","72,348","72,489","72,774","73,090","73,533","74,045","74,952","76,578","77,557","78,668","82,001","83,035","84,335","85,695","87,469","85,722"
